initial_layout,n_sheep,n_shepherds,reliability
compact,5,1,0.0
compact,5,2,1.0
compact,5,3,1.0
compact,5,4,1.0
compact,5,6,1.0
compact,5,10,1.0
compact,10,1,0.4
compact,10,2,1.0
compact,10,3,1.0
compact,10,4,1.0
compact,10,6,1.0
compact,10,10,1.0
compact,25,1,1.0
compact,25,2,1.0
compact,25,3,1.0
compact,25,4,1.0
compact,25,6,1.0
compact,25,10,1.0
compact,50,1,1.0
compact,50,2,1.0
compact,50,3,1.0
compact,50,4,1.0
compact,50,6,1.0
compact,50,10,1.0
compact,100,1,1.0
compact,100,2,1.0
compact,100,3,1.0
compact,100,4,1.0
compact,100,6,1.0
compact,100,10,1.0
